type,title,cover,author,authorImg,authorWork,authorWords,authorDays,monthRead,monthFlower,allRead,allFlower,wordNum,updateTicket,reward,monthTicker,shareNum,rate,startTime,updateTime,detailLink
玄幻奇幻,我的武功无上限,http://img.faloo.com/Novel/498x705/0/362/000362818.jpg,三叶柳,//photo.faloo.com/default.jpg,14,6720000,1919,151508,2029,23216091,225994,4548622,66,876000.0,0,10,9.9,2020-02-01,2024-12-07,https://b.faloo.com/693447.html
玄幻奇幻,玄幻，从掠夺词条开始崛起,http://img.faloo.com/Novel/498x705/1/1555/001555031.jpg,鸡儿飞,//photo.faloo.com/default.jpg,7,6290000,1676,150194,1521,660085,699,128623,0,100.0,0,0,10,2024-11-08,2024-12-05,https://b.faloo.com/1451829.html
玄幻奇幻,影帝：掠夺词条，开局扮演至尊宝,http://img.faloo.com/Novel/498x705/1/1554/001554919.jpg,一日八更,//photo.faloo.com/default.jpg,16,21260000,1783,150782,546,224462,452,180713,0,0.0,0,0,0,2024-11-27,2024-12-07,https://b.faloo.com/1455185.html
玄幻奇幻,合欢宗弟子，加入太太聊天群,http://img.faloo.com/Novel/498x705/1/1051/001051457.jpg,月见星河,//photo.faloo.com/default.jpg,1,2050000,474,150310,2100,9019974,70293,1992578,5,2188.0,0,0,9.6,2023-08-28,2024-12-07,https://b.faloo.com/1351377.html
玄幻奇幻,洪荒：我打造了魔神版十二祖巫！,http://img.faloo.com/Novel/498x705/0/691/000691163.jpg,三颗小松鼠,//photo.faloo.com/default.jpg,1,9770000,1262,151693,2036,22576393,117557,9772280,33,1098000.0,0,0,9.9,2021-07-05,2024-12-07,https://b.faloo.com/988227.html
玄幻奇幻,玄幻：我的武魂是祖巫,http://img.faloo.com/Novel/498x705/0/297/000297037.jpg,吾乃瓜天帝,//photo.faloo.com/default.jpg,4,11070000,1981,150317,2030,26080208,176995,3817903,201,421000.0,0,19,9.9,2019-07-10,2024-12-07,https://b.faloo.com/627884.html
玄幻奇幻,洪荒：开局下载圣人修为,http://img.faloo.com/Novel/498x705/0/307/000307966.jpg,吃土老牛,//photo.faloo.com/default.jpg,57,180000,2285,151402,2033,29066423,273254,6199948,259,1144000.0,0,15,9.9,2019-08-07,2024-12-07,https://b.faloo.com/638733.html
玄幻奇幻,洪荒：开局带领人族退隐！,http://img.faloo.com/Novel/498x705/0/685/000685267.jpg,五十万啊,//photo.faloo.com/default.jpg,2,8000000,1499,151542,2037,15585277,51439,4782473,16,115000.0,0,0,9.9,2020-11-06,2024-12-07,https://b.faloo.com/848714.html
玄幻奇幻,西游：鸿蒙图书馆，鸿蒙排行榜！,http://img.faloo.com/Novel/498x705/0/675/000675264.jpg,吃土老牛,//photo.faloo.com/default.jpg,57,180000,2285,150253,2033,18677344,126928,4358866,171,775000.0,0,0,9.9,2021-06-09,2024-12-07,https://b.faloo.com/971578.html
玄幻奇幻,洪荒：万族大比召回人族所有强者,http://img.faloo.com/Novel/498x705/0/684/000684289.jpg,囚笼凌凌漆,//photo.faloo.com/default.jpg,10,29840000,1369,150274,2032,12143977,10991,2910457,2,1000.0,0,2,9.9,2021-06-24,2024-12-08,https://b.faloo.com/981104.html
